Dance of the Dead,GOTH,RP,6,9,0,15,6,12,14,0,6,11,14,0,6,12,14,15
DIVINE SERVICE,Electronic Boutique,P2,4,7,0,0,4,9,0,14,4,8,12,14,7,10,0,0
Don't Die,Paul Bazooka,RP,5,10,13,15,7,10,14,0,8,11,14,15,7,10,14,0
Dreadnought,EarBreaker,P1,6,9,12,15,8,11,0,0,8,0,13,15,8,13,0,0
Dream of You,makou,P2,4,7,11,0,6,10,0,14,5,9,11,14,8,12,0,0
Elastic Star,Forte Escape,P1,4,7,0,0,6,7,0,0,4,8,0,0,4,7,0,0
End of the Moonlight,Forte Escape,P1,3,7,10,0,5,9,0,14,5,9,12,14,7,11,0,0
Enemy Storm,Croove,P1,2,5,13,14,5,8,0,0,6,8,11,0,5,10,14,14
Enter The Universe,GOTH,RP,6,9,12,0,7,10,15,15,9,12,14,15,7,10,14,0
Eternal Memory ~소녀의 꿈~,M2U,P1,2,6,0,0,3,9,0,0,2,7,0,0,5,7,0,0
Extreme Z4,Forte Escape,P1,3,7,0,0,4,8,0,0,7,9,0,0,8,12,0,0
Fallen Angel,DJ Mocha,P2,4,9,0,0,4,8,0,0,3,7,10,0,8,10,0,0
Far East Princess,Nauts,RP,5,7,10,0,5,10,0,0,3,9,10,0,5,9,0,0
FEAR,Supbaby,P1,4,9,0,0,5,9,12,0,6,12,0,0,8,11,12,0
Fentanest,EarBreaker & Eszett,P2,4,10,0,14,6,9,0,0,7,11,0,15,6,9,0,0
Fever GJ,xxdbxx,P1,3,7,0,0,3,6,0,0,3,7,9,0,7,0,0,0
Fly Away,XeoN,RP,3,10,0,0,6,10,0,0,4,0,11,14,6,10,0,0
For Seasons,makou,P2,1,6,0,0,6,9,0,0,4,7,11,0,5,10,0,0
For the IKARUS,NieN,P2,4,8,0,0,5,11,0,0,8,0,12,0,6,12,0,0
FTR,Supbaby,P1,6,10,0,0,5,10,0,14,8,11,0,0,7,11,0,13
Funky Chups,Forte Escape,P1,4,8,0,0,5,10,0,0,4,6,0,0,7,0,0,0
Futurism,Forte Escape,P1,4,8,0,0,7,9,0,14,6,8,11,0,8,10,0,14
Get Jinxed,Agnete K,RP,5,8,13,0,5,8,12,14,5,9,11,14,5,8,12,14
Get on Top,Planetboom,P2,3,7,0,0,6,9,0,0,5,8,12,0,7,10,0,0
GET OUT,ND Lee,P2,5,8,0,0,4,9,0,0,4,8,13,0,7,10,0,0
Ghost Voices,Virtual Self,RP,4,9,0,0,5,11,0,0,6,10,0,0,6,11,0,0
glory day,BEXTER x Mycin.T,RP,8,10,0,13,7,10,0,0,6,11,0,13,7,10,0,13
Good Bye,Ruby Tuesday,P2,5,7,0,14,4,9,0,0,7,0,12,14,6,9,0,0
Grid System,Tsukasa,RP,5,9,14,0,4,9,13,15,6,0,13,15,5,9,13,0
Groovin Up,Mycin.T,RP,3,6,0,0,5,9,0,0,5,8,11,0,5,9,0,0
HAMSIN,makou,P1,9,0,15,15,6,9,13,0,9,12,14,0,6,9,14,15
Heavenly,makou,RP,5,7,0,0,4,8,0,0,5,9,12,0,4,9,0,0
Hello Pinky,NieN,P2,5,8,0,0,5,10,0,12,7,11,0,0,6,11,0,12
Higher,Supbaby,P2,4,8,0,14,6,12,0,0,6,9,0,14,4,8,13,0
Holy Orders (Be Just Or Be Dead),Daisuke Ishiwatari,GG,4,9,11,14,6,8,11,0,6,9,12,0,6,10,11,15
I want You ~반짝★반짝 Sunshine~,Studio LAY-BACK,RP,3,7,12,0,6,9,12,0,5,10,12,14,6,10,12,13
JBG,Croove,P1,7,11,0,0,7,11,0,15,7,10,12,15,12,0,0,0
Jupiter Driving,xxdbxx,P1,5,9,0,13,5,11,0,0,5,8,0,14,7,12,0,0
KILLER BEE,GOTH,RP,4,6,11,15,7,11,0,0,8,9,13,0,7,13,0,15
Kingdom,Phantom sage,RP,5,0,11,0,5,7,0,0,5,0,8,0,6,11,0,0
KUDA,Gonzo,P1,8,11,0,14,5,9,0,0,8,12,0,15,10,0,0,0
Kung Brother,Paul Bazooka,RP,6,9,0,0,6,11,0,0,8,10,13,0,6,11,0,0
Ladymade Star,ESTi,P2,2,6,10,0,3,8,0,0,5,8,10,0,5,8,0,0
Lemonade,M2U,P1,8,0,0,14,6,13,0,0,7,10,0,15,8,13,0,0
Let's Go Baby,3rd Coast,P1,2,5,0,0,6,8,0,0,3,7,10,0,9,0,0,0
Liar,zts,RP,6,9,0,15,8,12,0,0,8,10,13,15,8,13,0,0
Lift You Up,makou,RP,2,5,0,0,4,7,0,0,3,7,0,0,4,7,0,0
Light House,xxdbxx,P1,4,9,0,0,4,11,0,0,6,8,11,0,7,12,0,0
Long Vacation,ESTi,P1,4,8,0,0,3,6,0,13,5,9,0,0,7,0,0,13
Lost n' found,bermei.inazawa,P2,3,7,0,0,6,8,0,0,5,9,0,0,7,9,0,0
Luv Flow,3rd Coast,P1,1,5,0,0,3,6,0,0,1,5,0,0,6,8,0,0
Marionette,Daisuke Ishiwatari,GG,5,9,13,0,7,12,0,15,6,10,13,15,8,0,13,0
MASAI,Croove,P1,4,7,11,0,5,8,12,0,7,10,12,0,10,0,0,0
Memoirs,M2U,P2,4,7,0,13,7,10,0,13,6,9,11,0,7,10,0,0
Memory of Beach,M2U,P1,6,11,0,0,7,12,0,13,6,9,12,0,8,0,13,12
Mess it Up,Nauts,P2,5,9,0,0,4,9,0,0,9,12,0,0,6,10,0,0
Midnight Blood,NieN,P2,6,13,0,0,6,13,0,14,7,10,13,0,6,9,13,14
Miles,Electronic Boutique,P2,4,10,0,13,5,10,13,0,4,9,13,14,4,11,13,0
Minimal Life,EarBreaker,P1,5,7,0,0,7,9,0,0,8,12,0,0,8,10,14,0
Minus 3,Croove,P2,8,11,0,14,6,12,0,0,10,0,13,0,7,12,0,15
Mulch,Sampling Masters MEGA,RP,6,12,0,0,7,0,14,15,8,12,14,15,7,0,15,0
My Alias,Dayz,P2,6,9,0,0,6,9,12,0,6,9,14,0,5,10,0,0
NANO RISK,Dayz,P2,7,0,0,0,7,11,0,0,6,9,12,0,7,11,0,0
NB POWER,NieN,P2,5,7,0,15,6,9,13,0,7,11,13,0,7,10,0,15
NB RANGER,M2U,P1,8,12,0,0,7,12,0,15,7,10,13,15,9,13,0,0
NB RANGER - Virgin Force,NieN,RP,5,10,0,15,7,12,15,0,7,12,14,15,7,11,15,0
NB Rangers -Returns-,NieN,P2,5,9,0,15,7,11,0,0,9,11,13,0,7,13,0,15
Negative Nature,Electronic Boutique,P2,4,8,0,0,4,7,0,13,7,12,0,14,4,8,0,0
NEON 1989 (ESTi Remix),OREO,RP,4,7,0,0,3,7,0,0,4,7,0,0,5,9,0,0
Never Say,ND Lee,P1,3,6,0,0,6,7,0,14,2,7,12,0,8,0,0,14
Nightmare,M2U,P2,9,12,0,0,8,13,15,15,8,13,15,0,8,12,15,15
OBLIVION,ESTi,P1,3,6,11,0,7,0,11,0,3,8,11,0,6,12,0,0
OBLIVION ~Rockin' Night Style~,NieN,P1,3,8,12,0,4,10,13,15,7,9,13,0,6,10,14,15
ON,ND Lee,P1,3,5,0,0,2,6,0,0,6,10,0,0,7,0,0,0
One the Love,xxdbxx,P1,2,5,0,0,6,8,0,0,3,6,11,0,7,8,0,0
Only for you,NieN,RP,1,4,9,11,5,7,10,0,4,7,11,12,5,7,10,12
OPEN FIRE,JC,RP,4,7,0,0,4,8,0,0,5,7,0,0,5,8,0,0
Out Law,Croove,P1,5,12,0,0,7,12,0,14,7,11,13,14,8,12,0,0
Over Your Dream,xxdbxx,RP,5,11,0,0,5,11,0,0,5,10,11,0,7,12,0,0
Para-Q,Forte Escape,P1,3,10,0,0,6,8,0,0,7,10,0,0,10,0,0,0
Phantom Of Sky,M2U,P2,3,7,10,0,4,7,0,12,5,10,0,12,4,8,0,0
plastic method,zts,P2,5,8,0,13,8,12,0,0,8,12,0,14,8,12,0,0
POP/STARS,K/DA,RP,5,9,12,0,5,8,12,15,5,8,11,14,5,9,13,14
quixotic,bermei.inazawa,RP,7,12,0,15,7,11,0,0,6,0,13,15,7,11,13,0
Ray of Illuminati,ESTi,P1,4,7,13,0,6,8,13,15,7,10,13,0,8,11,0,14
RED,Croove,P1,4,6,0,0,5,13,0,0,6,9,12,0,8,13,0,0
Remains Of Doom,NieN,RP,7,13,0,0,6,9,14,15,9,12,15,0,6,10,13,15
REVENGE,ND Lee,P1,5,0,11,0,3,7,0,14,8,12,0,0,10,0,0,15
Right Now,makou,P2,1,5,0,0,4,8,0,0,4,8,11,0,6,9,0,0
Road Of Death,NieN,P1,4,9,0,15,7,13,0,15,8,11,15,0,7,14,0,0
Rock Or Die,NieN,P1,6,0,0,15,6,9,0,0,6,10,12,0,6,9,0,15
Rocka-a-doodle-doo,makou,P2,3,9,0,0,4,8,0,0,7,11,0,0,5,9,12,0
RockSTAR,Mr.Funky,RP,5,9,0,0,4,11,0,0,4,11,0,0,3,7,13,0
Rolling On the Duck,NieN,P2,7,13,0,0,7,10,14,15,8,11,14,0,7,10,14,15
Royal Clown,bermei.inazawa,RP,6,8,14,0,7,11,0,15,7,10,13,15,7,10,14,0
Runaway,LeeZu,RP,6,10,0,0,8,11,0,15,9,11,12,15,8,13,0,0
Running girl,Mycin.T,RP,5,7,0,13,5,9,0,0,4,10,12,13,6,10,0,0
Ruti'n (GOTH Wild Electro Remix),GOTH,RP,6,10,0,0,4,10,0,0,7,10,13,0,7,12,0,0
Sad Machine,Porter Robinson,RP,3,5,8,0,5,7,10,12,4,7,10,13,5,7,10,0
Save My Dream,Forte Escape,P1,1,4,0,0,2,4,0,0,2,5,9,0,5,8,0,0
Secret Dejavu,DINY,RP,4,6,10,14,5,10,0,0,6,8,11,15,5,10,0,0
Seeker,M2U,P2,5,9,0,15,8,0,14,0,5,9,13,15,7,13,0,0
Shadow Flower,ned,RP,3,6,0,0,6,9,0,0,5,11,0,13,6,9,0,0
Showtime,Ruby Tuesday,P2,6,10,0,13,6,9,0,0,8,12,0,0,6,10,0,14
SIN,ESTi,P1,3,6,11,15,7,10,0,15,7,10,14,0,9,12,15,0
SIN ~The Last Scene~,ESTi,P1,7,12,14,15,7,12,0,0,8,12,14,15,8,14,0,0
Smoky Quartz,makou,P2,3,6,0,14,7,10,0,0,6,0,11,14,7,14,0,0
So Happy,Raven & Kreyn,RP,5,0,10,0,5,9,0,0,4,7,11,0,5,10,12,0
sO mUCH iN LUV,3rd Coast,P2,1,6,0,0,3,6,0,0,4,7,11,0,7,0,0,0
SQUEEZE,Oriental ST8,P2,4,9,0,15,7,11,0,0,8,10,12,0,7,12,0,14
STALKER,ND Lee,P2,5,10,0,0,7,9,0,15,6,10,12,14,8,0,15,0
StarFish,Planetboom,P2,6,9,0,0,7,10,0,0,6,10,0,0,6,9,0,0
Stay with me,Ruby Tuesday,P2,2,4,0,0,4,7,0,0,3,7,0,0,7,9,0,0
Sunny Side,Croove,P1,4,8,0,0,5,9,0,0,5,8,11,0,9,0,0,0
Sunny Side ~Deepn' Soul Mix~,makou,P1,7,10,0,13,7,11,0,0,7,0,11,13,8,10,0,0
Sunset Rider,Nauts,P2,5,9,0,0,6,10,0,0,5,7,11,0,6,9,0,0
Syriana,BEXTER,P2,6,9,0,0,6,9,0,14,6,9,13,0,5,9,0,14
Temptation,S-TRO,P1,4,10,0,0,4,10,0,0,6,0,12,0,9,0,0,0
The Feelings,Supbaby,RP,5,7,0,0,6,9,0,0,6,10,0,0,6,10,0,0
The Lost Story,NEOWIZ Bless Soundteam,RP,1,4,0,0,4,8,0,0,2,7,0,0,4,7,0,0
The Obliterator,GOTH,RP,5,8,0,0,7,11,0,0,8,0,13,0,7,11,0,0
Tok! Tok! Tok!,STARTRACK,RP,4,7,0,0,4,7,0,0,4,6,10,0,5,8,11,0
Triple Zoe,Forte Escape,P1,4,12,0,0,6,11,0,14,8,12,0,14,10,13,0,0
U.A.D,HAYAKO,RP,3,6,0,0,5,10,0,15,6,8,11,0,8,0,12,13
v o l d e n u i t,Cuve,RP,5,9,12,15,4,9,12,0,5,9,12,15,6,9,13,0
Void,Kobayashi Tetsuya,RP,3,7,11,0,5,11,0,0,5,10,0,0,5,11,0,0
waiting for me,Croove,RP,3,8,0,0,4,8,0,0,4,9,0,0,5,9,0,0
Waiting for you,Mycin.T,RP,4,8,0,14,6,10,0,0,6,12,0,14,7,11,0,0
Watch Your Step,XeoN,RP,4,0,12,0,5,8,0,14,3,0,10,14,3,6,13,0
We're All Gonna Die,Paul Bazooka,RP,8,12,14,0,8,13,0,15,11,13,15,15,8,13,15,0
WhiteBlue,zts,P2,7,9,13,0,6,10,13,15,7,11,13,15,8,11,13,0
WHY,Nauts,RP,3,7,0,0,5,10,0,0,2,7,10,0,4,7,0,0
Ya! Party!,Forte Escape,P1,4,8,0,0,5,10,0,0,5,8,12,0,9,0,0,0
Yellowberry -AJ Mix-,Forte Escape,P2,4,7,0,0,3,6,0,0,5,9,0,0,4,11,0,0
Yo Creo Que Si,makou,P2,6,9,0,0,6,9,0,0,8,0,12,0,7,9,0,0
Your Own Miracle,Ruby Tuesday,P2,3,9,0,0,3,6,11,15,6,10,12,0,7,10,13,15
